Latitude,Mean Value
72.431161,1.533333333
72.422178,1.413333333
72.413195,1.4
72.404212,1.333333333
72.395229,1.215517241
72.386246,1.129496403
72.377262,1.084615385
72.368279,1.067114094
72.359296,1.244186047
72.350313,1.251162791
72.34133,1.150234742
72.332347,1.269662921
72.323364,1.21875
72.31438,1.182291667
72.305397,1.220338983
72.296414,1.178899083
72.287431,1.358208955
72.278448,1.54954955
72.269465,1.477477477
72.260481,1.53271028
72.251498,1.515679443
72.242515,1.422442244
72.233532,1.53559322
72.224549,1.422155689
72.215566,1.450847458
72.206583,1.59752322
72.197599,1.370967742
72.188616,1.345637584
72.179633,1.29787234
72.17065,1.342756184
72.161667,1.326530612
72.152684,1.350553506
72.1437,1.56884058
72.134717,1.495726496
72.125734,1.538243626
72.116751,1.709969789
72.107768,1.703927492
72.098785,1.682414698
72.089802,1.643454039
72.080818,1.580174927
72.071835,1.590504451
72.062852,1.514792899
72.053869,1.472934473
72.044886,1.516949153
72.035903,1.572916667
72.026919,1.571770335
72.017936,1.452214452
72.008953,1.384615385
71.99997,1.363207547
71.990987,1.374005305
71.982004,1.232984293
71.973021,1.198090692
71.964037,1.222513089
71.955054,1.156097561
71.946071,1.169620253
71.937088,1.105670103
71.928105,1.121718377
71.919122,1.14797136
71.910138,1.235849057
71.901155,1.222222222
71.892172,1.303769401
71.883189,1.299785867
71.874206,1.294776119
71.865223,1.353040541
71.85624,1.327205882
71.847256,1.327102804
71.838273,1.304940375
71.82929,1.370909091
71.820307,1.307001795
71.811324,1.411188811
71.802341,1.423347398
71.793358,1.441221374
71.784374,1.317829457
71.775391,1.294832827
71.766408,1.333333333
71.757425,1.369252874
71.748442,1.35704698
71.739459,1.293833132
71.730475,1.25795053
71.721492,1.342995169
71.712509,1.287246722
71.703526,1.326507395
71.694543,1.309368192
71.68556,1.327991453
71.676577,1.366515837
71.667593,1.270613108
71.65861,1.262226847
71.649627,1.315183246
71.640644,1.301518438
71.631661,1.53236715
71.622678,1.536312849
71.613694,1.58490566
71.604711,1.557729941
71.595728,1.418293936
71.586745,1.364617044
71.577762,1.225113122
71.568779,1.216056671
71.559796,1.178205128
71.550812,1.19602649
71.541829,1.31228473
71.532846,1.308051342
71.523863,1.30713422
71.51488,1.299751244
71.505897,1.280101394
71.496913,1.263669502
71.48793,1.275033378
71.478947,1.312242091
71.469964,1.328496042
71.460981,1.319719953
71.451998,1.334448161
71.443015,1.372119816
71.434031,1.360927152
71.425048,1.438577586
71.416065,1.396166134
71.407082,1.404975124
71.398099,1.375494071
71.389116,1.330300273
71.380132,1.4
71.371149,1.362162162
71.362166,1.352941176
71.353183,1.325643301
71.3442,1.33106383
71.335217,1.273553719
71.326234,1.30615942
71.31725,1.369584439
71.308267,1.344303797
71.299284,1.383503401
71.290301,1.439830508
71.281318,1.527381845
71.272335,1.490356083
71.263351,1.521348315
71.254368,1.486891386
71.245385,1.511987626
71.236402,1.503330866
71.227419,1.601865136
71.218436,1.534900285
71.209453,1.519258203
71.200469,1.450359712
71.191486,1.531024531
71.182503,1.493060628
71.17352,1.432330827
71.164537,1.469731801
71.155554,1.489329268
71.146571,1.465181058
71.137587,1.508025122
71.128604,1.474043716
71.119621,1.486354094
71.110638,1.426345609
71.101655,1.421438083
71.092672,1.455777921
71.083688,1.44488978
71.074705,1.409655172
71.065722,1.433285509
71.056739,1.430714286
71.047756,1.379056047
71.038773,1.409672831
71.02979,1.428856383
71.020806,1.43907563
71.011823,1.524865591
71.00284,1.512786885
70.993857,1.554527429
70.984874,1.409503843
70.975891,1.411483254
70.966907,1.38832853
70.957924,1.379411765
70.948941,1.418020679
70.939958,1.359886202
